报告期,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业收入(万元),145398,1013171,801582,518340,280911,957185,585244,327220,128544,1101995,725942,488234,219914,1079078,716266,468683,214975,1190816,929294,612150,318569,884677,608846,365452,199340,966390,700312,351168,121243,1053439,431310,273197,123066,1053113,660429,454494,198391,1026065,752207,503544,269251,1009219,779903,544636,254977,748408,542911,376023,172529,450581,335371,222465,96780,591145,459314,326805,153480,548679,394688,272657,121284,416219,315291,192258,105517,
营业成本(万元),143699,910229,714607,442456,225786,829541,514010,313700,123684,1063878,686503,447466,199569,997052,659679,425924,194104,1096401,858256,563559,290494,799303,556078,323472,181254,902910,655889,332786,117381,1013987,409151,258189,116552,1003761,628182,434240,188990,980909,717681,480223,255421,907072,691863,477295,223379,651702,474003,326373,146620,369056,274543,179387,78074,528770,403363,282340,129416,475155,340530,234504,102864,359916,275120,164391,0,
营业利润(万元),-10517,21103,43424,48052,39496,53830,12564,-17686,-14122,-69326,-11736,6746,3761,15859,12000,8853,4550,28651,12689,9459,8051,4114,-3578,5359,992,-16462,-6480,-6858,-6927,-23435,-11246,-6596,-4235,-20512,-18841,-15151,-7127,-25242,-18931,-12189,-5570,14105,19408,17112,8055,19164,10664,8504,3987,3917,1685,808,-2725,11047,23229,19982,11723,18527,14671,11069,5712,15955,11069,7115,4013,
利润总额(万元),-10534,21074,43920,48447,39561,54466,12624,-17644,-14094,-69564,-11812,6756,3759,16150,12027,8866,4552,26831,20803,13377,9641,38330,29814,15684,10130,19397,11939,-4489,-5719,3691,-7639,-4172,-3038,4023,-13957,-12505,-5730,-17891,-13501,-9101,-4395,25147,22859,19444,9235,21628,12299,9443,4112,5638,2251,1192,-2598,13166,23641,20279,11825,23908,15272,11634,6052,15328,11157,7201,3970,
所得税费用(万元),873,10375,11555,10759,8238,18643,10288,1912,837,4966,997,648,525,4289,1790,2053,883,4039,3024,1894,1336,4418,4606,1887,1443,794,2436,--,--,2042,30,30,--,1011,--,--,--,-1535,--,--,--,4065,5781,4775,2191,548,8,4,1,-610,37,107,59,4437,4728,3768,2185,8498,4934,3513,1515,4488,2640,1503,1104,
净利润(万元),-11407,10700,32365,37688,31323,35824,2336,-19556,-14930,-74529,-12809,6108,3234,11861,10238,6813,3670,22792,17780,11483,8305,33913,25207,13798,8687,18603,9504,-4489,-5719,1649,-7669,-4203,-3038,3012,-13957,-12505,-5730,-16355,-13501,-9101,-4395,21081,17078,14669,7043,21080,12291,9438,4111,6248,2213,1085,-2658,8729,18913,16511,9640,15411,10338,8121,4536,10840,8517,5698,2866,
基本每股收益,-0.14,0.13,0.39,0.46,0.38,0.44,0.03,-0.24,-0.18,-0.91,-0.16,0.07,0.04,0.14,0.12,0.08,0.04,0.27,0.22,0.14,0.1,0.42,0.31,0.17,0.11,0.23,0.12,-0.07,-0.09,0.03,-0.12,-0.06,-0.05,0.06,-0.21,-0.19,-0.09,-0.24,-0.2,-0.14,-0.07,0.32,0.26,0.22,0.11,0.33,0.19,0.15,0.06,0.1,0.05,0.03,-0.05,0.21,0.44,0.4,0.23,0.37,0.25,0.2,0.11,0.24,0.19,0.13,0.07,
货币资金(万元),162781,194613,185459,160086,200638,169654,180174,192378,159194,185660,119876,114023,140412,114125,137483,102553,104363,156603,128895,134062,180949,159538,133160,141629,172890,119195,86805,70723,61697,46693,38596,54786,46863,62176,32145,29885,30629,19994,24150,26775,13565,16589,17964,17710,23920,38141,31063,11241,26548,22019,46650,55637,39807,49534,79476,21096,30851,34960,35305,58623,71759,31765,
应收账款(万元),11569,9095,9705,10251,10663,7470,6761,5225,6769,4178,8177,5699,7283,2894,6735,5101,6056,2358,4757,3837,7050,2109,4216,7107,4281,3348,3402,2964,2939,2599,2878,2876,3521,1645,2853,2946,6493,3759,3967,3616,6057,2012,7905,22145,8385,7757,9428,9691,9646,5989,10188,14533,15841,12688,15830,17998,18254,13984,15860,17946,13638,12658,
存货(万元),126017,131577,67428,89807,74532,67922,72648,75355,91538,71390,81442,65350,74279,57169,62086,41359,58061,44405,36369,33036,47893,37955,50227,37913,42457,41401,61142,51307,45683,52535,61024,57032,69788,51222,45156,43797,67449,44713,66260,57593,53425,44325,41636,51313,57759,58371,50237,63649,61163,49377,39035,30546,30281,31608,57874,63348,58936,43209,40262,35422,52475,39785,
