报告期,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业收入(万元),89793,366384,274770,192099,96677,338629,236155,141132,82745,386107,286392,192612,87916,382084,280216,184183,83771,254091,159142,79697,17951,62268,44157,31384,15145,69457,56598,39282,18508,67448,56537,39249,61238,53884,50922,
营业成本(万元),71112,287810,211144,145464,72814,263791,181229,109360,61963,285458,212336,142243,64519,283205,198800,129531,57935,176679,110746,54195,10927,38299,26856,19177,9271,42336,33399,23388,11608,42592,35546,24660,38295,33868,31769,
营业利润(万元),204,2809,4267,4979,3728,-37888,-3233,-6155,1137,11937,13447,8851,4523,17601,19185,14000,6358,16697,12592,8282,3802,12180,10463,7258,3182,15880,14454,9801,3894,15074,13539,9567,15119,13603,13059,
利润总额(万元),160,2533,3842,5083,3775,-38201,-3096,-6244,1079,11976,13474,8849,4622,17652,19394,14046,6366,16757,13257,8953,3820,13098,11225,7816,3275,16394,14945,10233,3917,15976,14251,9923,15441,14094,13388,
所得税费用(万元),-162,125,689,842,1135,3636,2400,723,-241,5874,7639,4585,2007,4155,4258,3912,1732,3400,3771,2381,682,1819,2000,1395,608,2867,2520,1726,686,2671,2239,1540,2327,1737,1656,
净利润(万元),322,2408,3154,4241,2640,-41837,-5496,-6968,1320,6102,5834,4264,2615,13497,15136,10134,4634,13357,9486,6572,3137,11279,9226,6421,2667,13527,12424,8507,3231,13304,12012,8384,13115,12357,11731,
基本每股收益,0.03,0.18,0.24,0.33,0.22,-3.71,-0.52,-0.63,0.12,0.57,0.55,0.39,0.25,1.31,1.46,0.97,0.46,1.3,0.88,0.62,0.3,1.1,0.9,0.62,0.26,1.58,1.51,0.86,0.45,1.8,1.6,1.11,1.75,1.65,--,
货币资金(万元),16114,24324,21080,24743,28246,31264,32102,38532,44338,31526,29560,30055,36039,36274,66534,24473,29006,30161,25399,43705,103866,91698,99775,92501,105468,99383,109746,103741,35246,28104,26312,18987,
应收账款(万元),63902,66309,66983,69939,70300,62860,72172,63236,56626,64292,64058,66475,65380,68065,66312,71321,63338,64604,54549,52227,22397,20200,17121,22695,17699,14556,20488,23209,14200,12187,12321,9356,
存货(万元),89229,77473,87230,82247,80803,69893,72364,74078,73391,68489,70564,69935,78495,72505,78756,75257,81131,68184,66369,51341,19366,14779,13974,13185,12486,11488,11536,12525,12254,10788,9383,9955,
流动资产合计(万元),198489,194904,211316,211115,211396,198020,205152,201296,199362,191010,189379,190499,196770,194586,231931,191261,196240,180736,162948,164181,166854,148337,149033,149409,157942,152546,162375,158577,82240,69867,65451,53180,
固定资产净额(万元),--,98134,--,96161,--,99941,--,99606,--,103910,--,92368,--,92176,83157,79091,78794,72188,70217,67533,32029,32131,29737,27679,25562,25035,18562,18988,19455,16480,11206,11559,
资产总计(万元),465530,466043,485050,490386,489798,460703,502602,500884,499631,495595,475614,471263,469379,471919,495545,441302,442860,426934,400670,390973,219495,196445,191418,188599,194175,188069,188782,183905,108252,90812,80964,66132,
流动负债合计(万元),157549,162614,168680,174127,206318,197367,190449,189292,186770,154744,120884,103760,179640,183119,211232,234828,147195,142985,123807,118102,55507,36170,33242,33248,32362,28712,30029,29694,26326,21938,20400,19295,
非流动负债合计(万元),95565,90225,96585,92298,90159,66952,81236,82372,78141,112836,150699,163615,93409,94973,88061,33762,123042,116498,117209,115687,8022,7832,7661,7700,8260,8218,8715,7891,7811,6574,5870,2623,
负债合计(万元),253114,252838,265265,266425,296477,264319,271685,271665,264911,267580,271583,267375,273050,278091,299293,268590,270237,259483,241016,233788,63529,44002,40902,40948,40623,36930,38744,37585,34137,28512,26269,21918,
所有者权益(或股东权益)合计(万元),212416,213205,219785,223960,193321,196384,230917,229219,234720,228016,204031,203888,196329,193828,196252,172712,172623,167451,159653,157185,155966,152444,150516,147651,153552,151139,150038,146320,74115,62300,54695,44214,
期初现金及现金等价物余额(万元),12714,17805,17805,17805,17805,20765,20765,20765,20765,35580,35580,35580,35649,29844,29844,29844,29661,91286,116036,116036,91286,98845,98845,98845,99383,35075,35246,35246,35075,28104,28104,28104,26312,18987,16748,
经营活动产生的现金流量净额(万元),4150,3934,-11727,-9938,-7332,31951,12948,4689,7841,23906,13251,4602,5709,12385,110,-4292,2569,4179,8304,10843,-672,19822,20293,11917,8688,16091,15787,8079,5555,13880,10165,7951,13013,13383,3242,
投资活动产生的现金流量净额(万元),-2928,-20120,-11708,-6265,-2275,-7462,-6363,-4975,-1534,-30202,-24819,-10886,-5729,-35505,-18040,-10281,-15970,-21749,-35998,-22580,-6174,-17305,-9888,-8457,-2455,-12399,-2561,-1240,-872,-3009,-2947,-2724,-8611,-3055,-2320,
筹资活动产生的现金流量净额(万元),-5134,11822,14219,11139,8116,-27048,-5823,6989,11503,-9031,-5682,-9510,346,26856,53549,8484,11887,-43825,-63089,-60476,18290,-10116,-10008,-10008,0,60113,61220,61586,-3933,-3936,-3653,-3316,-2609,-2995,1315,
现金及现金等价物净增加额(万元),-3123,-5091,-8342,-4657,-1253,-2961,-1893,4553,15435,-14815,-16242,-15515,389,5736,35909,-6370,-1655,-61442,-90741,-72753,11447,-7559,457,-6502,6223,63770,74416,68424,751,6972,3611,1921,1791,7325,2240,
期末现金及现金等价物余额(万元),9590,12714,9463,13148,16552,17805,18872,25318,36200,20765,19339,20065,36039,35580,65753,23473,28006,29844,25295,43283,102733,91286,99301,92343,105607,98845,109662,103670,35826,35075,31714,30024,28104,26312,18987,		
		
  
