报告期,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业收入(万元),3513913,15843669,12125149,8403970,4222685,15844210,10822228,6607653,2560485,17045595,12217711,8071049,3730095,16617299,12040425,7814966,3946876,16071152,11213189,7028279,3280280,13542226,8968529,5374264,2581077,9370004,6569959,4334635,4245,37151,22977,16333,4959,42745,30983,21300,6141,75970,63556,46729,23404,91998,67712,41604,23012,103383,74005,63238,29403,133693,103752,67516,31978,126424,93380,64744,28089,98845,73764,46381,22069,85033,63352,39329,18056,
营业成本(万元),3137078,14425308,11016057,7609204,3852373,14538517,9834130,5976648,2326296,15368413,10984354,7252975,3327184,14903958,10751522,6973963,3533278,14509093,10068436,6271214,2935753,12344456,8132105,4874957,2335535,8505407,5960694,3920542,3036,29883,17920,12734,3652,32413,22674,16223,4386,64357,54763,41880,20885,80063,59084,35883,19913,89000,65418,55823,25700,115866,89323,57944,27612,108858,80329,55625,24865,86579,64729,40469,19368,73525,55583,34090,15453,
营业利润(万元),114604,290579,269213,233769,104976,231683,196063,95280,-25164,452980,370598,250270,122778,528237,462374,303567,165129,575439,419614,287981,135564,382484,276533,188021,97334,257344,174187,127063,118,1960,2074,1160,46,4288,2658,1324,-49,4073,4378,288,73,92,153,3,175,985,597,316,361,1770,2707,2085,836,3584,3114,2725,658,1720,1576,1151,414,1523,1022,580,358,
利润总额(万元),114477,291528,271541,236776,107843,235403,198591,94972,-25568,454703,378455,252914,125473,525684,465979,306177,165555,574748,419878,290030,136866,397559,282492,189716,99551,270046,173919,127208,391,3579,2932,1716,316,6052,3432,1809,214,5379,5197,828,346,1481,814,668,817,1740,915,224,294,1954,2704,2082,835,4916,3888,2720,658,2469,1935,1151,414,1595,1759,701,480,
所得税费用(万元),31623,86905,74272,59360,26908,52569,44726,29840,13003,123181,98089,63955,27973,128292,95216,56838,32270,124292,81909,59157,26853,93261,66719,43320,22199,58199,38489,27407,26,170,205,123,10,689,335,179,27,519,408,146,75,812,289,208,134,331,575,202,135,483,392,315,117,822,798,598,141,119,287,96,55,278,279,-47,48,
净利润(万元),82855,204623,197270,177415,80935,182834,153865,65132,-38572,331521,280366,188960,97500,397392,370763,249340,133285,450455,337969,230873,110013,304298,215773,146396,77353,211847,135430,99801,365,3410,2727,1593,306,5363,3097,1631,187,4859,4789,682,272,669,524,460,683,1409,341,21,159,1472,2311,1767,718,4094,3090,2121,517,2350,1648,1054,360,1317,1481,748,432,
基本每股收益,0.08,0.2,0.2,0.19,0.08,0.19,0.16,0.06,-0.05,0.32,0.27,0.18,0.1,0.39,0.38,0.25,0.14,0.53,0.4,0.28,0.18,0.51,0.36,0.25,0.13,0.39,0.38,0.29,0.01,0.1,0.08,0.05,0.01,0.15,0.09,0.04,0.01,0.13,0.13,0.02,0.01,0.02,0.01,0.01,0.02,0.04,0.01,0,0,0.04,0.06,0.05,0.04,0.23,0.17,0.12,0.04,0.17,0.11,0.07,0.03,0.11,--,0.06,0.04,
货币资金(万元),1732625,2587776,1884683,2084398,2105547,2900882,1966640,2262696,1842258,2507013,1646334,2036124,1893168,2536850,1723122,1505085,1478763,3247317,1862466,1805546,1912209,2164126,2052123,1997014,1586715,1737172,1615173,1229805,5032,4062,5159,20919,19703,15403,18810,17834,16115,15155,15894,16923,16126,47264,47505,32753,47314,28904,24511,32063,41814,46659,55952,64375,42266,40396,45862,45692,39119,35868,33668,33195,27133,14878,
应收账款(万元),152186,169606,175132,214059,186881,194696,195307,215560,165247,305746,264548,333819,277253,281635,267562,360889,281390,301860,256902,336254,251964,310658,215337,211583,152485,165444,155547,151293,10160,13512,4765,9716,8164,7244,11696,8669,2372,4177,9760,17485,17436,15370,14452,14764,16148,14584,14333,32003,31658,30974,33401,32437,31945,28866,30974,29374,26155,23881,28624,25433,26626,23092,
存货(万元),1824146,1618316,1314450,1616905,1937427,2112003,2054926,1864459,1582420,1792575,1835125,1801694,2140594,2061033,2147746,2136320,1936535,1703335,1764254,1805274,1808780,1541803,1731912,1732447,1356324,1394394,1291726,1438773,6603,2357,6158,6123,4594,4250,7428,7807,9967,8176,3815,9162,7395,5841,9138,9515,9043,6368,4938,8114,10932,10844,17571,16213,15790,13887,10627,9968,8855,8758,9316,9384,8115,8293,
