报告期,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业收入(万元),103369,519075,398593,264144,124257,545702,394567,248357,101091,560009,445935,301984,145853,614569,444200,279042,137128,577055,418974,257956,124865,480150,357019,234103,108247,463812,332513,226031,134133,514655,382954,271913,137711,569012,388937,284715,130516,504879,338607,227209,103941,468388,328433,220025,112004,467489,332705,213110,102074,410554,330383,220179,96610,320675,272571,187652,90094,372688,250168,164545,85101,270103,160590,102724,48567,
营业成本(万元),85682,424516,325768,215115,104109,462670,341016,213433,86697,488136,390424,263371,123531,541815,390257,244207,119824,493949,357276,217113,105348,410015,299220,197463,89227,386056,277267,184876,110240,430596,319441,230080,117816,494653,333537,247680,114107,441153,293238,197573,90645,415448,288159,192926,97089,408189,295034,188660,90675,360491,292514,197739,87201,292267,249557,171424,82322,334930,226846,147036,75384,242806,144331,92065,43059,
营业利润(万元),8635,42816,47046,34049,11095,26668,27508,18089,5407,33627,26946,19694,11018,30871,22594,14500,6213,36796,-25464,-17723,2613,-15675,10403,5208,2767,11616,3966,4359,5739,1420,10415,8042,3419,6225,8986,6422,2009,8399,5959,4340,1123,10471,5699,5453,3483,19951,5229,4072,598,-33116,-13622,-17759,-13565,-52046,-8825,-7894,-130,11137,4011,3625,1474,8596,-20203,-14802,-4707,
利润总额(万元),8677,38770,44458,31393,11196,-22048,27782,18381,5658,34305,27592,20144,11247,35312,30394,22054,11085,45044,-23188,-15946,3419,7499,13352,7263,3329,25759,18511,14307,6094,3953,11890,9086,3869,12474,12047,9011,2613,11553,7310,4924,1458,10222,6126,5794,3734,36849,22632,20577,16990,-33182,-13258,-17620,-13497,-21702,9135,9909,7211,12689,4496,4095,1502,8999,-19435,-14276,-4181,
所得税费用(万元),1964,2286,6444,5032,1858,6315,5432,4140,1497,10284,6079,4694,3368,7355,7812,6584,4321,9119,6141,4306,2381,7428,5151,3226,1196,6034,5839,5034,2348,5008,3075,2005,908,3451,2341,1643,652,2608,1499,860,373,2516,2135,1564,950,3741,1767,1280,560,3291,2092,1127,545,57,1376,1016,324,2130,907,860,390,742,282,197,87,
净利润(万元),6713,36484,38013,26361,9338,-28364,22350,14241,4161,24022,21513,15450,7879,27957,22582,15470,6764,35926,-29330,-20252,1038,71,8201,4037,2134,19726,12672,9273,3747,-1056,8815,7081,2961,9023,9706,7368,1961,8945,5811,4063,1086,7706,3991,4230,2784,33109,20865,19297,16430,-36474,-15350,-18747,-14041,-21758,7759,8893,6887,10559,3588,3235,1112,8257,-19717,-14473,-4268,
基本每股收益,0.02,0.15,0.18,0.12,0.03,-0.38,0.05,0.02,0,0.06,0.05,0.04,0.02,0.07,0.07,0.04,0.02,0.09,-0.46,-0.31,-0.05,-0.19,-0.06,-0.04,-0.01,0.03,0.01,0.01,0,-0.13,-0.01,0.01,0,0.02,0.03,0.03,0,0.02,0.02,0.02,0,0.03,0.01,0.02,0.02,0.26,0.16,0.16,0.14,-0.37,-0.17,-0.19,-0.14,-0.23,0.05,0.07,0.06,0.07,0.03,0.03,0,0.06,-0.18,-0.14,--,
货币资金(万元),124828,153963,152686,148909,186437,182478,161519,156858,102954,261720,261011,230222,195455,203520,120553,100080,94505,112165,517736,450719,548131,504946,498138,497849,473764,485642,491374,528226,454909,525329,419701,412926,410459,379543,364629,351687,346683,336774,247552,227009,212831,192499,202458,208644,192744,191759,141595,154124,171705,165014,130389,130617,150453,130289,130509,133302,107183,118250,91941,100015,80410,74393,
应收账款(万元),95610,88119,100575,94983,88261,116121,90571,112913,79029,116312,128506,131986,136220,136151,139298,117692,134673,132540,247878,247840,229353,184292,151422,140325,137074,95575,152384,120517,117577,87770,103140,93812,107607,90653,116775,119911,116172,95528,102794,99705,89185,77893,66465,72182,76219,60683,76700,71459,57333,59210,65093,56674,48907,39032,49975,50444,45975,46628,37683,36864,52921,39774,
存货(万元),40004,28067,29374,29184,31818,30009,31991,34187,37296,33875,42466,31841,33127,30473,34494,34661,37416,37321,60202,59465,66786,63397,76598,87577,94108,93408,86292,87361,105383,88610,70781,73668,90779,79012,69271,72175,83141,76440,89975,72729,75295,72627,71120,70971,74829,68119,66407,66319,63635,51778,56183,55313,50092,44823,52044,51865,49966,48716,46452,48194,49300,44425,
