报告期,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
营业收入(万元),93359,443198,318018,167291,60219,332542,201883,112051,39891,168734,119811,78271,21580,96978,74769,44429,15798,102106,70974,35252,13027,96035,66827,38258,16159,79646,56529,31015,10668,30751,19673,11298,5187,35284,27448,21112,12836,38592,26984,15364,9034,43381,30542,22599,10844,61543,42427,30321,41593,31730,31267,17797,
营业成本(万元),80763,341204,241956,129943,49008,247922,142962,81557,30486,130182,95085,62890,17909,77234,59492,36142,13154,86317,59389,28958,10784,74913,50474,26656,10587,58705,42066,23816,8154,25443,16184,9422,4565,30802,24134,18657,11370,32920,23771,13630,8073,36678,25408,18447,8671,46151,31811,21749,27402,19558,22765,15284,
营业利润(万元),7405,67327,50919,24118,9168,55016,36522,19007,6043,20744,13339,7359,1588,7324,5472,2533,895,3848,1225,413,174,8597,7894,6155,2662,9131,6688,3037,1034,3339,2462,1545,753,3101,2218,1182,721,3476,2101,1101,438,4916,3536,2965,1389,10456,7203,6360,10692,9660,6592,1585,
利润总额(万元),7402,67436,51011,24136,9178,54821,36467,18970,6005,20716,13062,7137,1333,7381,5511,2567,1044,4100,1871,1031,307,8827,7982,6213,2696,11317,8012,3906,1459,5588,4153,2824,1209,4297,3320,1786,928,3611,2236,1163,438,6256,4610,3677,1434,11523,7620,6605,11081,10012,6906,1853,
所得税费用(万元),1171,9696,7758,3564,1492,8318,5600,2926,933,3151,1981,1070,176,1106,846,506,249,-50,-243,-16,-124,1689,1532,1240,577,2050,1345,616,413,862,732,474,229,651,503,259,115,564,204,94,34,929,652,497,217,1754,1118,1003,1633,1501,866,264,
净利润(万元),6231,57740,43254,20572,7685,46502,30867,16044,5072,17565,11081,6067,1157,6275,4665,2062,796,4150,2114,1048,431,7138,6450,4973,2119,9267,6667,3289,1047,4726,3421,2350,981,3646,2817,1527,812,3046,2032,1069,404,5327,3958,3180,1217,9769,6502,5602,9448,8511,6040,1589,
基本每股收益,0.11,1.04,0.78,0.37,0.14,0.84,0.56,0.29,0.09,0.32,0.2,0.11,0.02,0.11,0.08,0.04,0.01,0.08,0.04,0.02,0.01,0.13,0.12,0.09,0.04,0.17,0.12,0.06,0.02,0.13,0.1,0.07,0.03,0.1,0.08,0.04,0.05,0.17,0.11,0.06,0.03,0.44,0.33,0.27,0.1,1,0.72,0.62,1.05,0.95,0.67,0.18,
货币资金(万元),97629,131094,119981,88752,118678,94286,92663,77362,48541,59067,52554,22664,19541,28034,34446,31825,22319,28963,30467,29832,26539,27925,29573,27817,29164,36254,19786,25940,24340,25006,28186,37395,53966,62635,70207,84297,83668,83923,86036,95332,90577,94513,98104,95554,89014,96378,113421,14490,10101,2271,1059,
应收账款(万元),120759,111733,89508,84073,61164,81456,76665,76824,57567,47046,66106,83948,55935,52121,67206,67726,62551,66868,64395,56791,60214,53861,52925,44642,38636,41450,41647,35158,28387,26145,25348,26880,23827,28349,31819,33420,34810,29968,32983,29498,30147,24464,25372,29489,32009,28771,20849,15599,8363,2923,3694,
存货(万元),162051,204605,174668,134229,119655,101880,126359,109974,82087,89216,69750,56153,69404,61146,56899,60490,49408,46693,54298,54959,36347,34960,39151,40572,36137,34317,36602,36616,33756,31560,20942,17256,9068,8701,10105,8301,7672,11518,15911,18867,10807,12555,16711,11437,10957,11030,17597,17728,12889,10531,3632,
流动资产合计(万元),457435,529199,532955,426406,406165,354414,369859,364619,286368,266023,258493,216805,198729,198352,209314,210030,190563,190669,189188,184593,170997,166892,170542,163294,155208,154889,147090,141822,146094,139056,140769,145802,141940,151315,142218,137852,142480,140775,152412,160735,144523,142817,151792,145400,138961,143808,159612,55141,39523,18846,10998,
固定资产净额(万元),--,98426,--,90205,--,89359,--,48437,--,49278,--,46640,--,47984,38439,38663,39225,39327,39600,40085,40875,41350,40358,36296,36585,37006,24038,24304,24647,25028,15592,15655,15902,16155,6366,6536,6772,7001,7266,7501,7346,7488,6717,6696,6930,7125,7087,7225,7166,6257,3766,
资产总计(万元),603663,665009,658990,548179,520664,465993,484075,472471,390555,368732,359705,315185,295448,294816,300940,295157,275500,275601,281358,276961,264078,257488,261640,253678,242618,241533,232237,224577,210778,198249,195318,195280,190883,192674,173443,164636,163874,160947,165245,173274,154012,152264,159435,153039,146777,151824,167169,62796,47372,25388,15802,
流动负债合计(万元),190850,303635,323616,259580,246666,199786,227484,230784,159522,142850,140602,101123,87751,88545,96783,94072,75608,76808,83291,79936,67105,60921,65739,59229,50999,50929,55911,51180,39156,26937,24807,25427,24874,27286,21272,13756,13708,10873,16170,27162,8565,6021,14535,8917,4618,10882,29444,34998,25177,12593,7017,
非流动负债合计(万元),106526,61477,50355,27197,25094,25191,25007,25041,25076,25111,25102,24813,24837,24861,24822,24846,24870,24894,26205,26229,26253,26277,26301,26325,26350,26374,14695,15145,15604,15989,16468,16881,14406,14406,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,2000,
负债合计(万元),297376,365112,373972,286777,271760,224977,252491,255825,184598,167961,165705,125937,112588,113407,121605,118918,100478,101702,109496,106165,93358,87199,92040,85555,77349,77302,70606,66324,54760,42926,41275,42308,39280,41692,23272,15756,15708,12873,18170,27162,8565,6021,14535,8917,4618,10882,29444,34998,25177,12593,9017,
所有者权益(或股东权益)合计(万元),306288,299897,285018,261402,248904,241016,231584,216646,205957,200771,194000,189249,182859,181409,179335,176240,175022,173899,171862,170796,170719,170289,169600,168123,165269,164230,161630,158252,156018,155323,154042,152972,151603,150982,150171,148880,148166,148073,147075,146112,145447,146243,144900,144122,142159,140942,137725,27798,22196,12795,6785,
期初现金及现金等价物余额(万元),65476,46748,46748,46748,46190,33980,33980,33980,33980,15363,15363,15363,15363,18112,18112,18112,18112,17951,17951,17951,17951,30346,30346,30346,30346,22305,22305,22305,22305,58981,58981,58981,58981,83117,83117,83117,83117,94513,94513,94513,94513,96378,96378,96378,96378,10101,10101,10101,2271,2271,1059,847,
经营活动产生的现金流量净额(万元),-51186,2122,-6260,888,27324,1743,7631,-9518,-5066,22842,14973,-14909,-9444,10192,1485,-45,-3136,-11424,-15582,-13669,-10970,893,-63,-5090,1101,11600,932,3188,3125,-6761,-2578,-2390,4005,23647,5505,10681,2104,-300,-975,5430,-3333,4658,7200,1606,-4804,-11492,-11349,146,7231,-1181,2719,-108,
投资活动产生的现金流量净额(万元),-3262,-21891,-13072,-10593,-8581,12731,4910,20319,-1855,-3897,-495,9391,7416,-14293,2029,1499,-2282,14382,15152,14761,12147,-12387,-8357,-6154,-7856,-7132,-7584,-1269,-2936,-29552,-28972,-20951,-10491,-47063,-17852,-8938,-2043,-9896,-6302,-3411,-603,-3894,-3034,10,-4,-834,-591,-537,-5400,-2026,-1909,-1115,
筹资活动产生的现金流量净额(万元),61107,38746,23185,-1146,0,-1337,-1262,-803,0,-566,-555,0,0,366,349,2931,2960,-2730,-751,-703,-52,-901,-1338,-1184,-32,3599,1635,-359,0,-360,-360,-360,0,-720,-720,-720,0,-1200,-1200,-1200,0,-2629,-2440,-2440,-2555,98602,114661,4180,5998,1336,403,1435,
现金及现金等价物净增加额(万元),6505,18728,3824,-10875,18823,12767,11359,10064,-6962,18618,14106,-5778,-2195,-2749,4528,4595,-2603,161,-1229,370,1128,-12395,-9758,-12428,-6788,8041,-5043,1537,166,-36677,-31913,-23701,-6486,-24136,-13067,1023,60,-11397,-8478,819,-3936,-1864,1727,-824,-7363,86277,102720,3789,7829,-1870,1213,212,
期末现金及现金等价物余额(万元),71981,65476,50572,35873,65013,46748,45340,44045,27018,33980,29468,9585,13168,15363,22640,22707,15508,18112,16722,18321,19079,17951,20588,17918,23558,30346,17262,23842,22471,22305,27069,35280,52495,58981,70050,84140,83177,83117,86036,95332,90577,94513,98104,95554,89014,96378,112821,13890,10101,401,2271,1059,		
		
  
