报告期,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31,
营业收入(万元),49186,329819,177107,119521,47931,265964,168594,123455,46814,274549,186269,125810,57092,309473,207423,123062,54317,245506,167699,102656,45089,203348,124584,88905,35438,168539,114432,81004,30708,152354,100798,65734,26459,131908,82978,57118,24052,104442,75515,51364,23042,78356,54626,36105,15591,55216,37524,23754,12779,46650,35726,22119,38686,27932,27702,20399,
营业成本(万元),42719,304848,154438,103885,38405,214802,122854,89565,34557,197906,131238,90989,39958,212091,143456,81292,35912,163859,113313,69587,30360,138808,84372,59921,23594,111085,74204,52969,20821,97793,69439,44947,17872,87621,59424,40476,17626,75259,57179,38517,17055,54610,40352,27042,11404,39042,26061,16706,9017,33806,26038,16491,28723,20451,20219,14612,
营业利润(万元),-6926,-61876,-32285,-21380,-2408,-48712,16457,15916,4382,31789,31772,24059,7148,52606,37516,23914,6950,45434,32533,20742,5799,31878,20721,16110,5472,32723,24523,16803,4584,30389,21129,13813,3865,25741,14723,10928,3405,14818,11096,7956,3272,12545,8727,5126,2218,9668,6263,3453,1984,7075,5717,2956,4327,3677,3440,2374,
利润总额(万元),-6940,-61853,-32285,-21483,-2416,-49371,16466,15936,4408,31783,31774,23978,6980,52688,37576,23965,7030,50713,32526,20720,6941,48762,29507,20031,6677,46649,27309,18425,5890,38700,22609,15237,5249,30062,18066,11769,4196,24589,13723,9727,3281,19450,9739,5930,2332,13309,6971,4082,2019,8323,5726,2964,5106,4304,4967,2964,
所得税费用(万元),-241,-6266,-5799,-4035,138,-10393,2616,2525,309,2781,3841,3079,887,7189,4427,2537,1294,6355,4842,2809,1111,6813,3996,2988,1040,6399,3800,2509,789,5492,3078,2172,698,4554,2385,1811,644,3258,1729,1174,522,2681,1341,787,336,1815,1008,563,314,1225,839,443,490,551,658,375,
净利润(万元),-6699,-55587,-26486,-17448,-2554,-38978,13850,13410,4099,29002,27933,20899,6094,45499,33149,21428,5736,44359,27684,17910,5830,41949,25510,17043,5638,40251,23509,15916,5102,33208,19531,13064,4551,25507,15681,9958,3552,21331,11994,8554,2759,16769,8398,5143,1996,11495,5962,3518,1705,7098,4887,2521,4616,3753,4309,2589,
基本每股收益,-0.04,-0.36,-0.19,-0.13,-0.02,-0.25,0.09,0.08,0.03,0.19,0.19,0.14,0.04,0.29,0.21,0.14,0.04,0.28,0.18,0.11,0.04,0.26,0.16,0.11,0.08,0.6,0.35,0.24,0.08,0.5,0.29,0.2,0.16,0.84,0.51,0.33,0.12,0.7,0.39,0.28,0.09,0.54,0.27,0.16,0.06,0.8,0.4,0.23,0.26,1.36,1.01,0.52,0.98,0.77,0.98,0.52,
货币资金(万元),189475,190601,175922,164887,153124,148602,88513,106428,85179,157806,91645,136848,121341,203599,153687,141269,135200,129002,106670,123122,126840,139135,148992,168320,283253,313305,17908,27639,25466,48765,11988,20645,24447,34219,20314,18417,22501,35805,19562,26741,31719,41632,46153,58374,61426,66591,59262,56452,59861,66475,5105,7614,13184,10604,9588,
应收账款(万元),102626,103765,86417,88027,70959,77583,134111,113087,122851,116498,137396,135297,110954,112287,139748,116514,115650,103018,104622,99864,94367,80970,87353,75702,76806,66960,72914,64048,56112,49776,48740,44304,44158,41429,43576,35232,36994,35268,37431,32083,26617,24055,27399,25226,16863,16243,18790,15969,14374,12433,13402,11344,9666,8493,6754,
存货(万元),370068,327774,390907,355411,371397,337922,166146,158818,325604,311286,341911,318923,317106,283429,287658,271801,240987,222384,230049,203856,192827,169844,174711,172393,138343,123265,132415,122058,113509,100601,105551,89729,78846,69048,77933,70282,51128,49083,51178,49476,43134,37836,36111,29831,26722,25205,21109,19566,14970,17440,18685,15819,13804,9501,5297,
