报告期,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
营业收入(万元),809,156,67,878,682,440,63,812,538,309,92,1811,1528,1091,469,4188,2326,1135,14127,11578,10031,6177,37231,26476,21378,8270,41901,30761,22604,8911,47347,30199,22053,8289,46155,41535,35409,29458,26528,
营业成本(万元),1235,844,41,830,705,505,27,610,392,232,109,1329,1114,726,296,4686,2426,916,11929,9308,8035,4935,27211,19147,15393,6010,29434,21826,16071,6512,34206,21714,15975,5709,33240,30352,26360,21540,20610,
营业利润(万元),-2155,-1703,-636,-3541,-1807,-1305,-614,-3281,-2710,-1995,-621,-18750,-6529,-8695,-3500,-7419,-3536,-832,-10458,-2084,-905,-46,-855,1101,1293,342,3845,2950,2106,236,5913,3066,2085,528,5620,5152,4479,3969,3232,
利润总额(万元),-2155,-1703,-636,-3505,-1806,-1303,-616,-3289,-2728,-2014,-643,-45903,-9432,-8844,-3487,-9933,-3598,-824,-9879,-1143,-503,32,463,1830,1767,472,4954,3817,2699,509,7138,3744,2576,619,7037,6322,6756,4818,4181,
所得税费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1370,23,23,23,-105,126,126,78,544,484,370,79,845,418,293,63,835,715,853,615,542,
净利润(万元),-2155,-1703,-636,-3505,-1806,-1303,-616,-3289,-2728,-2014,-643,-45903,-9432,-8844,-3487,-9933,-3598,-824,-11249,-1166,-527,9,568,1704,1641,394,4410,3333,2329,430,6292,3325,2284,557,6202,5607,5903,4203,3639,
基本每股收益,-0.12,-0.1,-0.03,-0.2,-0.1,-0.07,-0.03,-0.18,-0.15,-0.11,-0.04,-2.66,-0.54,-0.51,-0.2,-0.57,-0.2,-0.04,-0.63,-0.05,-0.02,0,0.03,0.1,0.1,0.05,0.51,0.39,0.27,0.05,0.9,0.48,0.33,0.08,0.89,0.8,0.84,0.6,0.52,
货币资金(万元),98,208,191,1671,121,369,383,532,537,720,620,823,1908,1860,1987,1757,3056,4816,4523,13263,12737,22002,17779,11983,25984,29613,27718,28105,29994,34039,22440,20013,17492,20245,19829,12707,7483,3396,
应收账款(万元),1073,1053,1107,1090,1984,1975,2123,2085,2361,2599,--,3476,--,--,24670,28673,35562,38418,39948,47745,49174,52348,49446,55060,59819,41980,39005,39117,36325,28652,20782,23243,23393,16883,13531,10365,8802,5085,
存货(万元),1416,1651,2245,2264,2351,2515,2953,2900,2949,2856,2988,2875,4091,4327,4528,4314,5885,6456,6758,8579,7915,8149,11871,13244,9459,8598,7957,7772,5833,7212,7264,8041,6558,7526,10747,6486,3518,3474,
流动资产合计(万元),3263,3421,4006,5442,5425,5506,6047,5940,6311,6617,7127,7595,47531,48130,58249,57215,65393,70388,69976,88352,88754,101920,95531,93437,104987,93453,85510,82051,80087,80704,57408,57251,52372,51621,47238,32369,23370,13528,
固定资产净额(万元),--,6414,--,6805,--,7483,--,8005,--,8533,8811,9008,9572,9833,10106,10383,11048,11329,11610,12015,12313,12521,12762,11062,12216,12521,12586,12316,12409,12642,12944,12185,12377,13340,13947,8602,7003,3882,
